Name,Focus
"Cradle Fund","Early stage grant funding and national startup ecosystem development"
"MDEC","Digital economy acceleration, tech talent development, and digital grants"
"Petronas FutureTech","Deeptech corporate venture capital and industrial sustainability investments"
"Khazanah Nasional","Sovereign wealth investments, strategic national assets, and series B+ funding"
"Sunway iLabs","Smart city innovations, proptech sandboxes, and university-industry collaboration"
"Cyberview","Smart city hardware testing, urban mobility, and 5G tech sandboxes"
"Maybank Innovation Lab","Fintech retail solutions, SME digital financing, and banking API access"
"Bank Islam Digital","Islamic finance sandboxes and Shariah-compliant startup piloting"
"IHH Healthcare","Clinical trial sandboxes, patient data access, and hospital software integration"
"Pharmaniaga Ventures","Biotech supply chain, cold-chain logistics, and pharmaceutical distribution networks"
"Maxis IoT Centre","Enterprise 5G deployments, NB-IoT networks, and B2B telecommunications integration"
"MRANTI","Deep-tech infrastructure, drone testing facilities, and robotics commercialization"
"SME Corp","Traditional SME digitization, matching grants, and rural business development"
"SC Innovation Lab","Securities Commission regulatory testing for equity crowdfunding and digital assets"
"Aerodyne Innovation Hub","Corporate venture capital for autonomous robotics, AI, and aerial data"
"EPF Digital","Retirement tech, wealth-tech integrations, and citizen financial literacy programs"
"Sime Darby Motors Lab","EV infrastructure, automotive retail tech, and mobility-as-a-service"
"Bursa Malaysia Tech","ESG reporting platforms, carbon exchange initiatives, and public market transitions"
